Medida;V+-s(V) simple;I+-s(I);V serie;V1;V2;I serie;V paralelo;I1;I2;I paralelo
1;1.083;2.6;1.092;0.705;0.387;1.7*10**-6;1.08;2.7*10**-6;4.7*10**-6;7.4*10**-6
2;2.09;5.2*10**-6;2.029;1.315;0.714;3.3*10**-6;2.10;5.2*10**-6;9.6*10**-6;14.7*10**-6
3;3.08;7.7*10**-6;3.016;1.951;1.065;4.9*10**-6;3.09;7.7*10**-6;14.0*10**-6;22.0*10**-6
4;4.04;10.2*10**-6;3.993;2.55;1.443;6.6*10**-6;4.09;10.3*10**-6;18.6*10**-6;28.7*10**-6
5;5.09;12.8*10**-6;5.024;3.23;1.794;8.1*10**-6;5.05;12.9*10**-6;23.2*10**-6;35.8*10**-6
6;6.09;15.8*10**-6;5.98;3.84;2.15;9.8*10**-6;6.09;15.5*10**-6;27.6*10**-6;43.2*10**-6
7;7.05;17.7*10**-6;6.93;4.46;2.47;11.5*10**-6;7.11;18.0*10**-6;32.1*10**-6;50.4*10**-6
8;8.02;20.2*10**-6;7.97;5.14;2.83;13.1*10**-6;8.05;20.5*10**-6;36.7*10**-6;57.4*10**-6
9;9.05;22.8*10**-6;8.94;5.76;3.18;14.7*10**-6;9.04;23.1*10**-6;41.5*10**-6;64.6*10**-6
10;10.07;25.3*10**-6;9.92;6.39;3.53;16.2*10**-6;10.05;25.6*10**-6;46.1*10**-6;71.3*10**-6
